purchase_id,date,supplier,category,items_summary,quantity_kg,total_cost_clp,payment_terms,due_date,status
PO-1497,2023-09-11,Licores Premium,wine,Wine Variety Pack,2.5,10000,30 dias,2023-10-11,Received
PO-1498,2023-09-14,Carnes Danke,meat,Meat Variety Pack,53.78,510933,30 dias,2023-10-14,Received
PO-1499,2023-09-14,Agro los hermanos,veg,Veg Variety Pack,134.85,202275,0 dias,2023-09-14,Received
PO-1500,2023-09-14,Puerto de Palos,seafood,Seafood Variety Pack,39.01,468150,15 dias,2023-09-29,Received
PO-1501,2023-09-14,Distribuidora JR,dairy,Dairy Variety Pack,75.72,454349,15 dias,2023-09-29,Received
PO-1502,2023-09-14,ICB Food Service,grocery,Grocery Variety Pack,213.11,426220,30 dias,2023-10-14,Received
PO-1503,2023-09-14,Distribuidora JR,beverage,Beverage Variety Pack,10.05,8040,15 dias,2023-09-29,Received
PO-1504,2023-09-14,Licores Premium,wine,Wine Variety Pack,10.46,41850,30 dias,2023-10-14,Received
PO-1505,2023-09-18,Carnes Danke,meat,Meat Variety Pack,96.56,917320,30 dias,2023-10-18,Received
PO-1506,2023-09-18,Agro los hermanos,veg,Veg Variety Pack,244.5,366750,0 dias,2023-09-18,Received
PO-1507,2023-09-18,Puerto de Palos,seafood,Seafood Variety Pack,88.74,1064910,15 dias,2023-10-03,Received
PO-1508,2023-09-18,Distribuidora JR,dairy,Dairy Variety Pack,110.85,665100,15 dias,2023-10-03,Received
PO-1509,2023-09-18,ICB Food Service,grocery,Grocery Variety Pack,340.44,680890,30 dias,2023-10-18,Received
PO-1510,2023-09-18,Distribuidora JR,beverage,Beverage Variety Pack,13.85,11080,15 dias,2023-10-03,Received
PO-1511,2023-09-18,Licores Premium,wine,Wine Variety Pack,16.85,67400,30 dias,2023-10-18,Received
PO-1512,2023-09-21,Carnes Danke,meat,Meat Variety Pack,26.16,248543,30 dias,2023-10-21,Received
PO-1513,2023-09-21,Agro los hermanos,veg,Veg Variety Pack,49.23,73837,0 dias,2023-09-21,Received
PO-1514,2023-09-21,Puerto de Palos,seafood,Seafood Variety Pack,12.64,151680,15 dias,2023-10-06,Received
PO-1515,2023-09-21,Distribuidora JR,dairy,Dairy Variety Pack,32.08,192450,15 dias,2023-10-06,Received
PO-1516,2023-09-21,ICB Food Service,grocery,Grocery Variety Pack,76.11,152210,30 dias,2023-10-21,Received
PO-1517,2023-09-21,Distribuidora JR,beverage,Beverage Variety Pack,3.55,2840,15 dias,2023-10-06,Received
PO-1518,2023-09-21,Licores Premium,wine,Wine Variety Pack,4.8,19200,30 dias,2023-10-21,Received
PO-1519,2023-09-25,Carnes Danke,meat,Meat Variety Pack,9.56,90820,30 dias,2023-10-25,Received
PO-1520,2023-09-25,Agro los hermanos,veg,Veg Variety Pack,21.1,31650,0 dias,2023-09-25,Received
PO-1521,2023-09-25,Puerto de Palos,seafood,Seafood Variety Pack,7.7,92370,15 dias,2023-10-10,Received
PO-1522,2023-09-25,Distribuidora JR,dairy,Dairy Variety Pack,17.25,103500,15 dias,2023-10-10,Received
PO-1523,2023-09-25,ICB Food Service,grocery,Grocery Variety Pack,40.38,80770,30 dias,2023-10-25,Received
PO-1524,2023-09-25,Distribuidora JR,beverage,Beverage Variety Pack,2.65,2120,15 dias,2023-10-10,Received
PO-1525,2023-09-25,Licores Premium,wine,Wine Variety Pack,3.84,15350,30 dias,2023-10-25,Received
PO-1526,2023-09-28,Carnes Danke,meat,Meat Variety Pack,40.45,384298,30 dias,2023-10-28,Received
PO-1527,2023-09-28,Agro los hermanos,veg,Veg Variety Pack,83.5,125250,0 dias,2023-09-28,Received
PO-1528,2023-09-28,Puerto de Palos,seafood,Seafood Variety Pack,21.94,263280,15 dias,2023-10-13,Received
PO-1529,2023-09-28,Distribuidora JR,dairy,Dairy Variety Pack,45.88,275250,15 dias,2023-10-13,Received
PO-1530,2023-09-28,ICB Food Service,grocery,Grocery Variety Pack,138.87,277730,30 dias,2023-10-28,Received
PO-1531,2023-09-28,Distribuidora JR,beverage,Beverage Variety Pack,5.58,4460,15 dias,2023-10-13,Received
PO-1532,2023-09-28,Licores Premium,wine,Wine Variety Pack,5.58,22300,30 dias,2023-10-28,Received
PO-1533,2023-10-02,Carnes Danke,meat,Meat Variety Pack,10.1,95902,30 dias,2023-11-01,Received
PO-1534,2023-10-02,Agro los hermanos,veg,Veg Variety Pack,29.75,44625,0 dias,2023-10-02,Received
PO-1535,2023-10-02,Puerto de Palos,seafood,Seafood Variety Pack,11.35,136170,15 dias,2023-10-17,Received
PO-1536,2023-10-02,Distribuidora JR,dairy,Dairy Variety Pack,21.43,128550,15 dias,2023-10-17,Received
PO-1537,2023-10-02,ICB Food Service,grocery,Grocery Variety Pack,43.76,87520,30 dias,2023-11-01,Received
PO-1538,2023-10-02,Distribuidora JR,beverage,Beverage Variety Pack,0.97,780,15 dias,2023-10-17,Received
PO-1539,2023-10-02,Licores Premium,wine,Wine Variety Pack,2.91,11650,30 dias,2023-11-01,Received
PO-1540,2023-10-05,Carnes Danke,meat,Meat Variety Pack,35.11,333545,30 dias,2023-11-04,Received
PO-1541,2023-10-05,Agro los hermanos,veg,Veg Variety Pack,79.38,119062,0 dias,2023-10-05,Received
PO-1542,2023-10-05,Puerto de Palos,seafood,Seafood Variety Pack,32.04,384480,15 dias,2023-10-20,Received
PO-1543,2023-10-05,Distribuidora JR,dairy,Dairy Variety Pack,46.77,280650,15 dias,2023-10-20,Received
PO-1544,2023-10-05,ICB Food Service,grocery,Grocery Variety Pack,131.93,263850,30 dias,2023-11-04,Received
PO-1545,2023-10-05,Distribuidora JR,beverage,Beverage Variety Pack,3.17,2540,15 dias,2023-10-20,Received
PO-1546,2023-10-05,Licores Premium,wine,Wine Variety Pack,6.46,25850,30 dias,2023-11-04,Received
PO-1547,2023-10-09,Carnes Danke,meat,Meat Variety Pack,21.17,201115,30 dias,2023-11-08,Received
PO-1548,2023-10-09,Agro los hermanos,veg,Veg Variety Pack,42.83,64237,0 dias,2023-10-09,Received
PO-1549,2023-10-09,Puerto de Palos,seafood,Seafood Variety Pack,14.08,168930,15 dias,2023-10-24,Received
PO-1550,2023-10-09,Distribuidora JR,dairy,Dairy Variety Pack,24.5,147000,15 dias,2023-10-24,Received
PO-1551,2023-10-09,ICB Food Service,grocery,Grocery Variety Pack,71.04,142080,30 dias,2023-11-08,Received
PO-1552,2023-10-09,Distribuidora JR,beverage,Beverage Variety Pack,3.4,2720,15 dias,2023-10-24,Received
PO-1553,2023-10-09,Licores Premium,wine,Wine Variety Pack,2.6,10400,30 dias,2023-11-08,Received
PO-1554,2023-10-12,Carnes Danke,meat,Meat Variety Pack,30.1,285926,30 dias,2023-11-11,Received
PO-1555,2023-10-12,Agro los hermanos,veg,Veg Variety Pack,76.25,114375,0 dias,2023-10-12,Received
PO-1556,2023-10-12,Puerto de Palos,seafood,Seafood Variety Pack,26.67,320070,15 dias,2023-10-27,Received
PO-1557,2023-10-12,Distribuidora JR,dairy,Dairy Variety Pack,38.1,228600,15 dias,2023-10-27,Received
PO-1558,2023-10-12,ICB Food Service,grocery,Grocery Variety Pack,114.05,228090,30 dias,2023-11-11,Received
PO-1559,2023-10-12,Distribuidora JR,beverage,Beverage Variety Pack,3.3,2640,15 dias,2023-10-27,Received
PO-1560,2023-10-12,Licores Premium,wine,Wine Variety Pack,11.06,44250,30 dias,2023-11-11,Received
PO-1561,2023-10-16,Carnes Danke,meat,Meat Variety Pack,16.0,151976,30 dias,2023-11-15,Received
PO-1562,2023-10-16,Agro los hermanos,veg,Veg Variety Pack,37.45,56175,0 dias,2023-10-16,Received
PO-1563,2023-10-16,Puerto de Palos,seafood,Seafood Variety Pack,14.91,178890,15 dias,2023-10-31,Received
PO-1564,2023-10-16,Distribuidora JR,dairy,Dairy Variety Pack,22.98,137850,15 dias,2023-10-31,Received
PO-1565,2023-10-16,ICB Food Service,grocery,Grocery Variety Pack,55.15,110300,30 dias,2023-11-15,Received
PO-1566,2023-10-16,Distribuidora JR,beverage,Beverage Variety Pack,3.42,2740,15 dias,2023-10-31,Received
PO-1567,2023-10-16,Licores Premium,wine,Wine Variety Pack,2.31,9250,30 dias,2023-11-15,Received
PO-1568,2023-10-19,Carnes Danke,meat,Meat Variety Pack,41.62,395342,30 dias,2023-11-18,Received
PO-1569,2023-10-19,Agro los hermanos,veg,Veg Variety Pack,84.72,127087,0 dias,2023-10-19,Received
PO-1570,2023-10-19,Puerto de Palos,seafood,Seafood Variety Pack,29.3,351540,15 dias,2023-11-03,Received
PO-1571,2023-10-19,Distribuidora JR,dairy,Dairy Variety Pack,60.6,363600,15 dias,2023-11-03,Received
PO-1572,2023-10-19,ICB Food Service,grocery,Grocery Variety Pack,152.16,304310,30 dias,2023-11-18,Received
PO-1573,2023-10-19,Distribuidora JR,beverage,Beverage Variety Pack,4.9,3920,15 dias,2023-11-03,Received
PO-1574,2023-10-19,Licores Premium,wine,Wine Variety Pack,5.62,22500,30 dias,2023-11-18,Received
PO-1575,2023-10-23,Carnes Danke,meat,Meat Variety Pack,8.35,79325,30 dias,2023-11-22,Received
PO-1576,2023-10-23,Agro los hermanos,veg,Veg Variety Pack,25.23,37837,0 dias,2023-10-23,Received
PO-1577,2023-10-23,Puerto de Palos,seafood,Seafood Variety Pack,11.87,142470,15 dias,2023-11-07,Received
PO-1578,2023-10-23,Distribuidora JR,dairy,Dairy Variety Pack,16.73,100350,15 dias,2023-11-07,Received
PO-1579,2023-10-23,ICB Food Service,grocery,Grocery Variety Pack,39.87,79730,30 dias,2023-11-22,Received
PO-1580,2023-10-23,Licores Premium,wine,Wine Variety Pack,1.06,4250,30 dias,2023-11-22,Received
PO-1581,2023-10-26,Carnes Danke,meat,Meat Variety Pack,39.51,375297,30 dias,2023-11-25,Received
PO-1582,2023-10-26,Agro los hermanos,veg,Veg Variety Pack,84.5,126750,0 dias,2023-10-26,Received
PO-1583,2023-10-26,Puerto de Palos,seafood,Seafood Variety Pack,27.45,329370,15 dias,2023-11-10,Received
PO-1584,2023-10-26,Distribuidora JR,dairy,Dairy Variety Pack,57.1,342600,15 dias,2023-11-10,Received
PO-1585,2023-10-26,ICB Food Service,grocery,Grocery Variety Pack,165.44,330870,30 dias,2023-11-25,Received
PO-1586,2023-10-26,Distribuidora JR,beverage,Beverage Variety Pack,5.65,4520,15 dias,2023-11-10,Received
PO-1587,2023-10-26,Licores Premium,wine,Wine Variety Pack,5.15,20600,30 dias,2023-11-25,Received
PO-1588,2023-10-30,Carnes Danke,meat,Meat Variety Pack,19.02,180690,30 dias,2023-11-29,Received
PO-1589,2023-10-30,Agro los hermanos,veg,Veg Variety Pack,39.7,59550,0 dias,2023-10-30,Received
PO-1590,2023-10-30,Puerto de Palos,seafood,Seafood Variety Pack,14.12,169410,15 dias,2023-11-14,Received
PO-1591,2023-10-30,Distribuidora JR,dairy,Dairy Variety Pack,22.25,133500,15 dias,2023-11-14,Received
PO-1592,2023-10-30,ICB Food Service,grocery,Grocery Variety Pack,60.4,120790,30 dias,2023-11-29,Received
PO-1593,2023-10-30,Distribuidora JR,beverage,Beverage Variety Pack,1.27,1019,15 dias,2023-11-14,Received
PO-1594,2023-10-30,Licores Premium,wine,Wine Variety Pack,1.94,7750,30 dias,2023-11-29,Received
PO-1595,2023-11-02,Carnes Danke,meat,Meat Variety Pack,28.31,268968,30 dias,2023-12-02,Received
PO-1596,2023-11-02,Agro los hermanos,veg,Veg Variety Pack,60.83,91237,0 dias,2023-11-02,Received
PO-1597,2023-11-02,Puerto de Palos,seafood,Seafood Variety Pack,19.63,235560,15 dias,2023-11-17,Received
PO-1598,2023-11-02,Distribuidora JR,dairy,Dairy Variety Pack,32.52,195150,15 dias,2023-11-17,Received
PO-1599,2023-11-02,ICB Food Service,grocery,Grocery Variety Pack,105.74,211480,30 dias,2023-12-02,Received
PO-1600,2023-11-02,Distribuidora JR,beverage,Beverage Variety Pack,4.15,3320,15 dias,2023-11-17,Received
PO-1601,2023-11-02,Licores Premium,wine,Wine Variety Pack,6.01,24050,30 dias,2023-12-02,Received
PO-1602,2023-11-06,Carnes Danke,meat,Meat Variety Pack,15.71,149221,30 dias,2023-12-06,Received
PO-1603,2023-11-06,Agro los hermanos,veg,Veg Variety Pack,38.25,57375,0 dias,2023-11-06,Received
PO-1604,2023-11-06,Puerto de Palos,seafood,Seafood Variety Pack,10.36,124320,15 dias,2023-11-21,Received
PO-1605,2023-11-06,Distribuidora JR,dairy,Dairy Variety Pack,32.35,194100,15 dias,2023-11-21,Received
PO-1606,2023-11-06,ICB Food Service,grocery,Grocery Variety Pack,72.97,145940,30 dias,2023-12-06,Received
PO-1607,2023-11-06,Distribuidora JR,beverage,Beverage Variety Pack,4.83,3860,15 dias,2023-11-21,Received
PO-1608,2023-11-06,Licores Premium,wine,Wine Variety Pack,2.36,9450,30 dias,2023-12-06,Received
PO-1609,2023-11-09,Carnes Danke,meat,Meat Variety Pack,45.09,428378,30 dias,2023-12-09,Received
PO-1610,2023-11-09,Agro los hermanos,veg,Veg Variety Pack,94.45,141675,0 dias,2023-11-09,Received
PO-1611,2023-11-09,Puerto de Palos,seafood,Seafood Variety Pack,28.93,347160,15 dias,2023-11-24,Received
PO-1612,2023-11-09,Distribuidora JR,dairy,Dairy Variety Pack,63.08,378450,15 dias,2023-11-24,Received
PO-1613,2023-11-09,ICB Food Service,grocery,Grocery Variety Pack,167.91,335810,30 dias,2023-12-09,Received
PO-1614,2023-11-09,Distribuidora JR,beverage,Beverage Variety Pack,4.1,3279,15 dias,2023-11-24,Received
PO-1615,2023-11-09,Licores Premium,wine,Wine Variety Pack,8.01,32049,30 dias,2023-12-09,Received
PO-1616,2023-11-13,Carnes Danke,meat,Meat Variety Pack,5.87,55765,30 dias,2023-12-13,Received
PO-1617,2023-11-13,Agro los hermanos,veg,Veg Variety Pack,12.5,18750,0 dias,2023-11-13,Received
PO-1618,2023-11-13,Puerto de Palos,seafood,Seafood Variety Pack,8.66,103920,15 dias,2023-11-28,Received
PO-1619,2023-11-13,Distribuidora JR,dairy,Dairy Variety Pack,7.53,45150,15 dias,2023-11-28,Received
PO-1620,2023-11-13,ICB Food Service,grocery,Grocery Variety Pack,28.0,56000,30 dias,2023-12-13,Received
PO-1621,2023-11-13,Distribuidora JR,beverage,Beverage Variety Pack,1.2,960,15 dias,2023-11-28,Received
PO-1622,2023-11-13,Licores Premium,wine,Wine Variety Pack,6.0,24000,30 dias,2023-12-13,Received
PO-1623,2023-11-16,Carnes Danke,meat,Meat Variety Pack,43.41,412347,30 dias,2023-12-16,Received
PO-1624,2023-11-16,Agro los hermanos,veg,Veg Variety Pack,94.05,141075,0 dias,2023-11-16,Received
PO-1625,2023-11-16,Puerto de Palos,seafood,Seafood Variety Pack,28.74,344880,15 dias,2023-12-01,Received
PO-1626,2023-11-16,Distribuidora JR,dairy,Dairy Variety Pack,55.02,330150,15 dias,2023-12-01,Received
PO-1627,2023-11-16,ICB Food Service,grocery,Grocery Variety Pack,146.45,292900,30 dias,2023-12-16,Received
PO-1628,2023-11-16,Distribuidora JR,beverage,Beverage Variety Pack,4.92,3940,15 dias,2023-12-01,Received
PO-1629,2023-11-16,Licores Premium,wine,Wine Variety Pack,3.95,15800,30 dias,2023-12-16,Received
PO-1630,2023-11-20,Carnes Danke,meat,Meat Variety Pack,13.41,127418,30 dias,2023-12-20,Received
PO-1631,2023-11-20,Agro los hermanos,veg,Veg Variety Pack,29.85,44775,0 dias,2023-11-20,Received
PO-1632,2023-11-20,Puerto de Palos,seafood,Seafood Variety Pack,7.71,92550,15 dias,2023-12-05,Received
PO-1633,2023-11-20,Distribuidora JR,dairy,Dairy Variety Pack,21.75,130500,15 dias,2023-12-05,Received
PO-1634,2023-11-20,ICB Food Service,grocery,Grocery Variety Pack,53.72,107430,30 dias,2023-12-20,Received
PO-1635,2023-11-20,Distribuidora JR,beverage,Beverage Variety Pack,2.17,1739,15 dias,2023-12-05,Received
PO-1636,2023-11-20,Licores Premium,wine,Wine Variety Pack,3.96,15850,30 dias,2023-12-20,Received
PO-1637,2023-11-23,Carnes Danke,meat,Meat Variety Pack,39.76,377672,30 dias,2023-12-23,Received
PO-1638,2023-11-23,Agro los hermanos,veg,Veg Variety Pack,88.0,132000,0 dias,2023-11-23,Received
PO-1639,2023-11-23,Puerto de Palos,seafood,Seafood Variety Pack,30.62,367500,15 dias,2023-12-08,Received
PO-1640,2023-11-23,Distribuidora JR,dairy,Dairy Variety Pack,48.65,291900,15 dias,2023-12-08,Received
PO-1641,2023-11-23,ICB Food Service,grocery,Grocery Variety Pack,137.38,274750,30 dias,2023-12-23,Received
PO-1642,2023-11-23,Distribuidora JR,beverage,Beverage Variety Pack,5.47,4380,15 dias,2023-12-08,Received
PO-1643,2023-11-23,Licores Premium,wine,Wine Variety Pack,7.99,31950,30 dias,2023-12-23,Received
PO-1644,2023-11-27,Carnes Danke,meat,Meat Variety Pack,19.14,181830,30 dias,2023-12-27,Received
PO-1645,2023-11-27,Agro los hermanos,veg,Veg Variety Pack,34.77,52162,0 dias,2023-11-27,Received
PO-1646,2023-11-27,Puerto de Palos,seafood,Seafood Variety Pack,11.95,143400,15 dias,2023-12-12,Received
PO-1647,2023-11-27,Distribuidora JR,dairy,Dairy Variety Pack,33.55,201299,15 dias,2023-12-12,Received
PO-1648,2023-11-27,ICB Food Service,grocery,Grocery Variety Pack,72.38,144750,30 dias,2023-12-27,Received
PO-1649,2023-11-27,Distribuidora JR,beverage,Beverage Variety Pack,0.53,420,15 dias,2023-12-12,Received
PO-1650,2023-11-27,Licores Premium,wine,Wine Variety Pack,4.7,18800,30 dias,2023-12-27,Received
PO-1651,2023-11-30,Carnes Danke,meat,Meat Variety Pack,46.79,444481,30 dias,2023-12-30,Received
PO-1652,2023-11-30,Agro los hermanos,veg,Veg Variety Pack,91.0,136500,0 dias,2023-11-30,Received
PO-1653,2023-11-30,Puerto de Palos,seafood,Seafood Variety Pack,26.9,322770,15 dias,2023-12-15,Received
PO-1654,2023-11-30,Distribuidora JR,dairy,Dairy Variety Pack,51.58,309450,15 dias,2023-12-15,Received
PO-1655,2023-11-30,ICB Food Service,grocery,Grocery Variety Pack,138.69,277390,30 dias,2023-12-30,Received
PO-1656,2023-11-30,Distribuidora JR,beverage,Beverage Variety Pack,2.9,2320,15 dias,2023-12-15,Received
PO-1657,2023-11-30,Licores Premium,wine,Wine Variety Pack,6.14,24550,30 dias,2023-12-30,Received
PO-1658,2023-12-04,Carnes Danke,meat,Meat Variety Pack,7.8,74076,30 dias,2024-01-03,Received
PO-1659,2023-12-04,Agro los hermanos,veg,Veg Variety Pack,32.38,48562,0 dias,2023-12-04,Received
PO-1660,2023-12-04,Puerto de Palos,seafood,Seafood Variety Pack,13.99,167850,15 dias,2023-12-19,Received
PO-1661,2023-12-04,Distribuidora JR,dairy,Dairy Variety Pack,12.28,73650,15 dias,2023-12-19,Received
PO-1662,2023-12-04,ICB Food Service,grocery,Grocery Variety Pack,46.45,92910,30 dias,2024-01-03,Received
PO-1663,2023-12-04,Distribuidora JR,beverage,Beverage Variety Pack,4.47,3579,15 dias,2023-12-19,Received
PO-1664,2023-12-04,Licores Premium,wine,Wine Variety Pack,1.2,4800,30 dias,2024-01-03,Received
PO-1665,2023-12-07,Carnes Danke,meat,Meat Variety Pack,41.21,391471,30 dias,2024-01-06,Received
PO-1666,2023-12-07,Agro los hermanos,veg,Veg Variety Pack,78.58,117862,0 dias,2023-12-07,Received
PO-1667,2023-12-07,Puerto de Palos,seafood,Seafood Variety Pack,21.54,258480,15 dias,2023-12-22,Received
PO-1668,2023-12-07,Distribuidora JR,dairy,Dairy Variety Pack,61.5,369000,15 dias,2023-12-22,Received
PO-1669,2023-12-07,ICB Food Service,grocery,Grocery Variety Pack,162.91,325820,30 dias,2024-01-06,Received
PO-1670,2023-12-07,Distribuidora JR,beverage,Beverage Variety Pack,2.85,2280,15 dias,2023-12-22,Received
PO-1671,2023-12-07,Licores Premium,wine,Wine Variety Pack,4.46,17850,30 dias,2024-01-06,Received
PO-1672,2023-12-11,Carnes Danke,meat,Meat Variety Pack,14.87,141217,30 dias,2024-01-10,Received
PO-1673,2023-12-11,Agro los hermanos,veg,Veg Variety Pack,40.92,61387,0 dias,2023-12-11,Received
PO-1674,2023-12-11,Puerto de Palos,seafood,Seafood Variety Pack,14.49,173850,15 dias,2023-12-26,Received
PO-1675,2023-12-11,Distribuidora JR,dairy,Dairy Variety Pack,10.22,61350,15 dias,2023-12-26,Received
PO-1676,2023-12-11,ICB Food Service,grocery,Grocery Variety Pack,43.16,86320,30 dias,2024-01-10,Received
PO-1677,2023-12-11,Distribuidora JR,beverage,Beverage Variety Pack,3.73,2980,15 dias,2023-12-26,Received
PO-1678,2023-12-11,Licores Premium,wine,Wine Variety Pack,3.06,12250,30 dias,2024-01-10,Received
PO-1679,2023-12-14,Carnes Danke,meat,Meat Variety Pack,44.45,422227,30 dias,2024-01-13,Received
PO-1680,2023-12-14,Agro los hermanos,veg,Veg Variety Pack,93.38,140062,0 dias,2023-12-14,Received
PO-1681,2023-12-14,Puerto de Palos,seafood,Seafood Variety Pack,31.09,373110,15 dias,2023-12-29,Received
PO-1682,2023-12-14,Distribuidora JR,dairy,Dairy Variety Pack,54.8,328800,15 dias,2023-12-29,Received
PO-1683,2023-12-14,ICB Food Service,grocery,Grocery Variety Pack,147.78,295550,30 dias,2024-01-13,Received
PO-1684,2023-12-14,Distribuidora JR,beverage,Beverage Variety Pack,3.98,3180,15 dias,2023-12-29,Received
PO-1685,2023-12-14,Licores Premium,wine,Wine Variety Pack,4.12,16500,30 dias,2024-01-13,Received
PO-1686,2023-12-18,Carnes Danke,meat,Meat Variety Pack,13.92,132240,30 dias,2024-01-17,Received
PO-1687,2023-12-18,Agro los hermanos,veg,Veg Variety Pack,32.48,48712,0 dias,2023-12-18,Received
PO-1688,2023-12-18,Puerto de Palos,seafood,Seafood Variety Pack,15.94,191220,15 dias,2024-01-02,Received
PO-1689,2023-12-18,Distribuidora JR,dairy,Dairy Variety Pack,27.35,164100,15 dias,2024-01-02,Received
PO-1690,2023-12-18,ICB Food Service,grocery,Grocery Variety Pack,80.02,160030,30 dias,2024-01-17,Received
PO-1691,2023-12-18,Distribuidora JR,beverage,Beverage Variety Pack,2.15,1720,15 dias,2024-01-02,Received
PO-1692,2023-12-18,Licores Premium,wine,Wine Variety Pack,4.26,17050,30 dias,2024-01-17,Received
PO-1693,2023-12-21,Carnes Danke,meat,Meat Variety Pack,53.35,506801,30 dias,2024-01-20,Received
PO-1694,2023-12-21,Agro los hermanos,veg,Veg Variety Pack,109.17,163762,0 dias,2023-12-21,Received
PO-1695,2023-12-21,Puerto de Palos,seafood,Seafood Variety Pack,30.61,367350,15 dias,2024-01-05,Received
PO-1696,2023-12-21,Distribuidora JR,dairy,Dairy Variety Pack,45.15,270900,15 dias,2024-01-05,Received
PO-1697,2023-12-21,ICB Food Service,grocery,Grocery Variety Pack,148.25,296510,30 dias,2024-01-20,Received
PO-1698,2023-12-21,Distribuidora JR,beverage,Beverage Variety Pack,8.5,6800,15 dias,2024-01-05,Received
PO-1699,2023-12-21,Licores Premium,wine,Wine Variety Pack,6.39,25550,30 dias,2024-01-20,Received
PO-1700,2023-12-25,Carnes Danke,meat,Meat Variety Pack,13.48,128060,30 dias,2024-01-24,Received
PO-1701,2023-12-25,Agro los hermanos,veg,Veg Variety Pack,32.65,48975,0 dias,2023-12-25,Received
PO-1702,2023-12-25,Puerto de Palos,seafood,Seafood Variety Pack,12.44,149220,15 dias,2024-01-09,Received
PO-1703,2023-12-25,Distribuidora JR,dairy,Dairy Variety Pack,32.02,192150,15 dias,2024-01-09,Received
PO-1704,2023-12-25,ICB Food Service,grocery,Grocery Variety Pack,70.49,140980,30 dias,2024-01-24,Received
PO-1705,2023-12-25,Distribuidora JR,beverage,Beverage Variety Pack,1.93,1540,15 dias,2024-01-09,Received
PO-1706,2023-12-25,Licores Premium,wine,Wine Variety Pack,2.58,10300,30 dias,2024-01-24,Received
PO-1707,2023-12-28,Carnes Danke,meat,Meat Variety Pack,41.44,393703,30 dias,2024-01-27,Received
PO-1708,2023-12-28,Agro los hermanos,veg,Veg Variety Pack,90.55,135825,0 dias,2023-12-28,Received
PO-1709,2023-12-28,Puerto de Palos,seafood,Seafood Variety Pack,39.24,470910,15 dias,2024-01-12,Received
PO-1710,2023-12-28,Distribuidora JR,dairy,Dairy Variety Pack,45.1,270600,15 dias,2024-01-12,Received
PO-1711,2023-12-28,ICB Food Service,grocery,Grocery Variety Pack,136.15,272290,30 dias,2024-01-27,Received
PO-1712,2023-12-28,Distribuidora JR,beverage,Beverage Variety Pack,3.75,3000,15 dias,2024-01-12,Received
PO-1713,2023-12-28,Licores Premium,wine,Wine Variety Pack,7.0,28000,30 dias,2024-01-27,Received
PO-1714,2024-01-01,Carnes Danke,meat,Meat Variety Pack,18.17,172615,30 dias,2024-01-31,Received
PO-1715,2024-01-01,Agro los hermanos,veg,Veg Variety Pack,40.38,60562,0 dias,2024-01-01,Received
PO-1716,2024-01-01,Puerto de Palos,seafood,Seafood Variety Pack,10.47,125670,15 dias,2024-01-16,Received
PO-1717,2024-01-01,Distribuidora JR,dairy,Dairy Variety Pack,30.9,185400,15 dias,2024-01-16,Received
PO-1718,2024-01-01,ICB Food Service,grocery,Grocery Variety Pack,64.56,129120,30 dias,2024-01-31,Received
PO-1719,2024-01-01,Distribuidora JR,beverage,Beverage Variety Pack,2.35,1880,15 dias,2024-01-16,Received
PO-1720,2024-01-01,Licores Premium,wine,Wine Variety Pack,2.5,10000,30 dias,2024-01-31,Received
PO-1721,2024-01-04,Carnes Danke,meat,Meat Variety Pack,34.13,324258,30 dias,2024-02-03,Received
PO-1722,2024-01-04,Agro los hermanos,veg,Veg Variety Pack,81.85,122774,0 dias,2024-01-04,Received
PO-1723,2024-01-04,Puerto de Palos,seafood,Seafood Variety Pack,32.01,384060,15 dias,2024-01-19,Received
PO-1724,2024-01-04,Distribuidora JR,dairy,Dairy Variety Pack,44.3,265800,15 dias,2024-01-19,Received
PO-1725,2024-01-04,ICB Food Service,grocery,Grocery Variety Pack,123.45,246910,30 dias,2024-02-03,Received
PO-1726,2024-01-04,Distribuidora JR,beverage,Beverage Variety Pack,3.6,2880,15 dias,2024-01-19,Received
PO-1727,2024-01-04,Licores Premium,wine,Wine Variety Pack,6.31,25250,30 dias,2024-02-03,Received
PO-1728,2024-01-08,Carnes Danke,meat,Meat Variety Pack,15.99,151881,30 dias,2024-02-07,Received
PO-1729,2024-01-08,Agro los hermanos,veg,Veg Variety Pack,43.45,65175,0 dias,2024-01-08,Received
PO-1730,2024-01-08,Puerto de Palos,seafood,Seafood Variety Pack,17.42,209070,15 dias,2024-01-23,Received
PO-1731,2024-01-08,Distribuidora JR,dairy,Dairy Variety Pack,20.48,122850,15 dias,2024-01-23,Received
PO-1732,2024-01-08,ICB Food Service,grocery,Grocery Variety Pack,64.14,128289,30 dias,2024-02-07,Received
PO-1733,2024-01-08,Distribuidora JR,beverage,Beverage Variety Pack,3.52,2820,15 dias,2024-01-23,Received
PO-1734,2024-01-08,Licores Premium,wine,Wine Variety Pack,3.64,14550,30 dias,2024-02-07,Received
PO-1735,2024-01-11,Carnes Danke,meat,Meat Variety Pack,32.09,304878,30 dias,2024-02-10,Received
PO-1736,2024-01-11,Agro los hermanos,veg,Veg Variety Pack,75.05,112575,0 dias,2024-01-11,Received
PO-1737,2024-01-11,Puerto de Palos,seafood,Seafood Variety Pack,33.86,406290,15 dias,2024-01-26,Received
PO-1738,2024-01-11,Distribuidora JR,dairy,Dairy Variety Pack,55.55,333300,15 dias,2024-01-26,Received
